code;name
0061;Argentina
0014;Australia
0003;Austria
0392;Azerbaijan
0434;Bahrain
0378;Barbados
0016;Belgium
0060;Brasil
0216;Bulgaria
0009;Canada
0040;Check Republic
0068;Chile
0038;China
0069;Colombia
0348;Costa Rica
0082;Croatia
0309;Cyprus
0011;Denmark
0340;Egypt
0006;España
0344;Estonia
0046;Finland
0005;France
0023;Germany
0001;Germany SAP
0058;Greece
0074;Hong Kong
0048;Hungary
0607;IE Business Objects
0076;IN SAP Labs India
0071;India
0072;Indonesia
0059;Ireland
0091;Israel
0010;Italia
0032;Japan
0245;Kazakhstan
0377;Kenya
0379;Latvia
0389;Lithuania
0029;Luxembourg
0030;Malaysia
0035;Mexico
0394;Morocco
0004;Neherlands
0013;New Zealand
0202;Nigeria
0018;Norway
0323;Oman
0421;Pakystan
0373;Panama
0067;Peru
0037;Philipines
0044;Poland
0033;Portugal
0077;Puerto Rico
0400;Qatar
0081;Romania
0235;Russia
0086;Saudi Arabia
0269;Serbia
0015;Singapore
0319;Slovakia
0280;Slovenia
0017;South Africa
0039;South Korea
0750;Success Factors
0012;Sweden
0002;Switzerland
0036;Tahiland
0073;Taiwan
0256;Turkey
0218;Ukraine
0088;United Arab Em.
0007;United Kingdom
0008;United States
0063;US SAP Labs LLC
0265;US SAP Newtown Square
0065;US SAP Washington
0424;Venezuela
0351;Vietnam
0000;ZZ0000
0027;ZZ0027
0064;ZZ0064
0070;ZZ0070
0075;ZZ0075
0078;ZZ0078
0087;ZZ0087
0203;ZZ0203
0205;ZZ0205
0208;ZZ0208
0219;ZZ0219
0225;ZZ0225
0230;ZZ0230
0234;ZZ0234
0236;ZZ0236
0237;ZZ0237
0241;ZZ0241
0242;ZZ0242
0251;ZZ0251
0252;ZZ0252
0254;ZZ0254
0257;ZZ0257
0261;ZZ0261
0262;ZZ0262
0266;ZZ0266
0267;ZZ0267
0270;ZZ0270
0279;ZZ0279
0281;ZZ0281
0282;ZZ0282
0283;ZZ0283
0284;ZZ0284
0285;ZZ0285
0286;ZZ0286
0287;ZZ0287
0313;ZZ0313
0331;ZZ0331
0332;ZZ0332
0333;ZZ0333
0341;ZZ0341
0343;ZZ0343
0346;ZZ0346
0349;ZZ0349
0350;ZZ0350
0352;ZZ0352
0353;ZZ0353
0354;ZZ0354
0364;ZZ0364
0365;ZZ0365
0369;ZZ0369
0370;ZZ0370
0371;ZZ0371
0372;ZZ0372
0376;ZZ0376
0385;ZZ0385
0390;ZZ0390
0393;ZZ0393
0399;ZZ0399
0402;ZZ0402
0403;ZZ0403
0405;ZZ0405
0406;ZZ0406
0407;ZZ0407
0408;ZZ0408
0411;ZZ0411
0412;ZZ0412
0413;ZZ0413
0417;ZZ0417
0419;ZZ0419
0420;ZZ0420
0423;ZZ0423
0426;ZZ0426
0428;ZZ0428
0429;ZZ0429
0430;ZZ0430
0431;ZZ0431
0432;ZZ0432
0433;ZZ0433
0450;ZZ0450
0455;ZZ0455
0457;ZZ0457
0458;ZZ0458
0459;ZZ0459
0460;ZZ0460
0466;ZZ0466
0468;ZZ0468
0469;ZZ0469
0474;ZZ0474
0475;ZZ0475
0476;ZZ0476
0477;ZZ0477
0480;ZZ0480
0481;ZZ0481
0482;ZZ0482
0483;ZZ0483
0484;ZZ0484
0485;ZZ0485
0486;ZZ0486
0487;ZZ0487
0488;ZZ0488
0489;ZZ0489
0490;ZZ0490
0491;ZZ0491
0492;ZZ0492
0493;ZZ0493
0494;ZZ0494
0495;ZZ0495
0496;ZZ0496
0497;ZZ0497
0501;ZZ0501
0631;ZZ0631
0634;ZZ0634
0650;ZZ0650
0656;ZZ0656
0657;ZZ0657
0668;ZZ0668
0681;ZZ0681
0700;ZZ0700
0701;ZZ0701
0703;ZZ0703
0705;ZZ0705
0710;ZZ0710
0712;ZZ0712
0723;ZZ0723
0728;ZZ0728
0739;ZZ0739
0741;ZZ0741
0742;ZZ0742
0743;ZZ0743
0745;ZZ0745
0767;ZZ0767
0782;ZZ0782
0800;ZZ0800
0804;ZZ0804
0806;ZZ0806
0808;ZZ0808
0809;ZZ0809
0811;ZZ0811
0813;ZZ0813
0816;ZZ0816
0821;ZZ0821
0827;ZZ0827
0830;ZZ0830
0831;ZZ0831
0833;ZZ0833
0834;ZZ0834
0836;ZZ0836
0840;ZZ0840
0841;ZZ0841
0847;ZZ0847
0853;ZZ0853
0855;ZZ0855
0900;ZZ0900
0902;ZZ0902
0903;ZZ0903
0904;ZZ0904
0905;ZZ0905
0907;ZZ0907
0908;ZZ0908
0909;ZZ0909
0910;ZZ0910
0911;ZZ0911
0912;ZZ0912
0913;ZZ0913
0914;ZZ0914
0915;ZZ0915
0917;ZZ0917
0919;ZZ0919
0920;ZZ0920
0923;ZZ0923
0924;ZZ0924
0926;ZZ0926
0927;ZZ0927
0929;ZZ0929
0930;ZZ0930
0931;ZZ0931
0932;ZZ0932
0933;ZZ0933
0934;ZZ0934
0936;ZZ0936
0939;ZZ0939
0943;ZZ0943
0944;ZZ0944
0945;ZZ0945
0946;ZZ0946
0947;ZZ0947
0948;ZZ0948
0950;ZZ0950
0999;ZZ0999
AK07;ZZAK07
BB01;ZZBB01
P099;ZZP099
X999;ZZX999
