code;name
01;Aerospace & Defense
02;Airline Management
03;Apparel and Footware
04;Automative Sales and Service Organizations
05;Automotive OEMs
06;Automotive Suppliers
07;Banking
08;Beverage
09;Biotechnology / biopharmaceuticals
10;Broadcasting
11;Building Materials
12;Business, Medical, and Consumer OEMs
13;Chemicals
14;Consumer Durables and Home Appliances
15;Consumer Products
16;Defense & Security
17;Defense Logistics
18;Electronics Manufacturing Service Providers
19;Engineering, Construction & Operations
20;Entertainment
21;Fabricated Metal Products
22;Food
23;Furniture
24;Generation
25;Healthcare
26;Healthcare Provider
27;High Tech
28;Higher Education & Research
29;Home and Personal Care
30;Indusrial Machinery & Components
31;Insurance
32;Life Sciences
33;Logistics Service Providers
34;Media
35;Medical device/scientific instruments
36;Mill Products
37;Mining
38;MRO/M&E Service Providers
39;Newspapers and Magazines
40;Oil & Gas
41;Packing 
42;Pharmaceuticals
43;Plastics
44;Postal services
45;Premium Content Publishers
46;Primary Metals
47;Professional Services
48;Public Sector
49;Public Security
50;Pulp and Paper
51;Railways
52;Retail
53;Semiconductor and Component Manufacturers
54;Software Providers
55;Telecommunications
56;Textile
57;Timberlands and Solid Wood
58;Transmission and Distribution
59;Utilities
60;Water
61;Wholesale Distribution
